caption	answer	add_caption	c1_variable	c1_comp	c1_condition	c2_variable	c2_comp	c2_condition	c3_variable	c3_comp	c3_condition
Any advice?	Giants are heavy hitters but they're quite slow. The trick is to be mobile: strike them and get the heck out of their range. Rinse and repeat 'til the beast is dead.|If you're going to fight undead, you better have at least a silver weapon. Most of them can't be harmed by simple iron nor steel.|Spell casters are fearsome adversaries. But they usually lack in the physical department. Lock them in melee and butcher them. Can't cast a spell when you have a blade through the neck, eh?|You should always have potions of free action if you're hunting spiders or scorpions. Being eaten alive while paralyzed sounds like a painful death.|You should carry potions of cure poison and of cure disease. You never know when you'll stumble upon a venomous beast.|Nymphs may look pleasing to the eye, but don't be mistaken: they'll use their fae magic to slay you.|If you're fighting vampires watch out for their sleep spells. If you fall unconscious, you won't wake up again. Oh, and be sure to visit a temple after fighting one of those unholy creatures. One can never be too careful.|Daedra are powerful enemies. Really powerful. Remember that the best strategy is the one that keeps you alive. And sometimes running is the best strategy.|Giants rats and giant bats aren't that dangerous. But these pests are disease ridden. One of my mates nearly died of Blood Rot because of a tiny bite.|If you have to fight flying creatures such as harpies or imps you should look for cover. Don't let them use their flight to their advantage. Force them to land.|Don’t just stand there trading blows with every foe you meet. You’ll get yourself killed that way! You gotta hit ‘em, then back off quick. Move in for another hit when you see an opening.|Different creatures have different weaknesses. Take the undead, for instance—hit ‘em with silver or magic, and they crumble easy. Daedra? You’ll need something powerful and enchanted.|You can’t rely on just one weapon all the time. Some foes, like ghosts or wraiths, can’t be hurt by ordinary steel. Always have a silver blade or an enchanted weapon with you.|Weapons and armor won’t last forever. If you don’t maintain them, you’ll find yourself in the middle of a fight with a broken blade.|Keep some fire, frost, and shock resistance spells or potions handy. You’ll come across all kinds of enemies with nasty elemental attacks.		Building Name	==	the Fighters Guild	NoLore	==	2			
Any advice?	Levitate is a useful spell. You can use it to reach high places in dungeons or, better yet, float out of danger when enemies are getting too close for comfort.|Don’t imagine healing is just for weaklings. A simple healing spell can save your skin more times than you can count.|Why rely on someone else's spells when you can make your own? Use the Guild spellmaker. Craft spells that suit your needs.|You know you don’t have to stand still to throw a spell, right? Cast while you’re on the move! If you're quick enough, you can finish the fight before they even swing at you.|Don’t go throwing spells around like a fool. Keep your powerful magic for the real fights. Why waste magicka on a rat when you could just club it?		Building Name	==	the Mages Guild	NoLore	==	2			
Any advice?	If the watch is after you, might as well hoof it out of the region. Plenty of other places and plenty of other marks to rob blind.|Shoplifting is risky. Fat merchants always have their eyes on their valuables. The trick is to break in at night when they're fast asleep with a bellyful of mutton and wine.|If you're not so good at lock-picking you can smash the doors. Careful though, it'll alert the watch in no time.|If you have a bounty over your head you should leave the region and lay low for a few months. The watch will forget about you soon enough.|You should practice climbing. I've never seen those plodding loafers in the watch catch a good cat-burglar jumping from roof to roof.|Jail is no fun. But it's still better than dead. If you're cornered by the watch, surrender and do your time. Most of us have spent a stretch in prison.|Monsters ain’t that bright. Sometimes they get stuck behind walls or stumble over rocks. Use that to your advantage. Find a spot where they can’t reach you, and hit them with spells or arrows from a safe distance.		Building Name	==	the Thieves Guild	Faction Social Group	==	4	NoLore	==	2
Any advice?	We do not accomplish contracts for monetary gains but to please Mephala, the Queen of Oblivion. Nothing stops you from looting the corpses of your targets, though.|Shadows are your allies. Strike your targets in the back while protected by the sweet embrace of darkness.|-Your duty is to kill your target. If, while doing so, you have to kill a few others, so be it.|It's a good habit to move from sanctuary to sanctuary regularly. When you're becoming infamous in a fiefdom, go serve the Dark One somewhere else.		Building Name	==	the Dark Brotherhood	NoLore	==	2			
the Fighters Guild	Some say we're just glorified mercenaries. That's not true. We're also glorified monster hunters.|Fighting monsters is an exciting job, but also a dangerous one. Lots of my mates have been slain by filthy beasts.|Ain't no whining allowed in the Guild. We're a tough bunch.|We solve a lot more trouble than we cause. Well, most of the time. Heh heh.|You need to be strong to become a fighter. And you need to be smart to survive long enough to become a seasoned fighter.|A Guildsman's job is protecting thems who can pay and fighting monsters.		Building Name	==	the Fighters Guild	NoLore	==	2			
Who are you?	I am @Name@, a Trainer of the Fighters Guild. Let me know if you want to hone your martial skills.		Building Name	==	the Fighters Guild	NoLore	==	2	Faction ID	==	849
Who are you?	I am @Name@ ,an Equipper of the Fighters Guild. I’ll repair unenchanted arms and armor for any member of the Fighters Guild.		Building Name	==	the Fighters Guild	NoLore	==	2	Faction ID	==	850
Who are you?	I am @Name@, Quester here at the Fighters Guild. I pass out the jobs and you do them.		Building Name	==	the Fighters Guild	NoLore	==	2	Faction ID	==	851
the Fighters Guild	The Fighters Guild is a sophisticated mercenary service. They often hire out adventurers as guards, escorts, and, occasionally, on more covert missions.|Just a bunch of guards for hire, nothing mysterious or romantic.|The Fighters Guild is just what its name implies -- an order for lances for hire and other mercenaries.|The Fighters Guild is where everyone with any gold goes to hire additional guards, escorts, what-have-you. They are absolutely essential for getting things done in %crn.										
the Mages Guild	Our noble institution was founded by Vanus Galerion circa 2E 230 to spread knowledge of the magical arts to the layman.|The Guild brings together masters of every school of magic.|We are Tamriel's leading scholarly institution. Each chapter of the Guild is a hall of knowledge.|For the Mages Guild, every school of magic is valid. We promote the practice of all magical arts.|We offer most of our services to everyone, though members are given a significant discount.	-|the schools of magic|-|the schools of magic|services	Building Name	==	the Mages Guild	NoLore	==	2			
